-104,0,-1016,1424809406,Mix,2015-02-24 15:23:26,82.23.200.x,0,0,0,0
-96,16,-1008,1424809406
-104,24,-992,1424809406
-112,40,-976,1424809406
-112,48,-952,1424809406
-104,48,-968,1424809406
-112,40,-976,1424809406
-104,24,-984,1424809406
-104,16,-1000,1424809406
-112,8,-992,1424809406
-120,16,-976,1424809406
-112,16,-976,1424809406
-112,8,-984,1424809406
-112,8,-984,1424809406
-104,16,-976,1424809406
-112,8,-976,1424809406
-112,8,-1000,1424809406
-112,16,-968,1424809406
-128,8,-984,1424809406
-120,0,-944,1424809406
-120,0,-992,1424809406
-112,16,-992,1424809406
-120,16,-1024,1424809406
-104,8,-976,1424809406
-104,8,-992,1424809407,Mix,2015-02-24 15:23:28,82.23.200.x,0,0,0,0
-112,8,-1000,1424809407
-104,8,-984,1424809407
-104,16,-984,1424809407
-88,16,-976,1424809407
-96,8,-1008,1424809407
-112,8,-1008,1424809407
-120,8,-968,1424809407
-104,0,-952,1424809407
-136,24,-968,1424809407
-144,24,-1000,1424809407
-128,24,-984,1424809407
-128,32,-984,1424809407
-112,40,-952,1424809407
-96,48,-992,1424809407
-96,24,-1040,1424809407
-112,16,-1000,1424809407
-120,16,-1000,1424809407
-120,16,-992,1424809407
-120,16,-1008,1424809407
-112,8,-1024,1424809407
-120,16,-1000,1424809407
-120,16,-976,1424809407
-136,24,-968,1424809407
-136,16,-968,1424809408,Mix,2015-02-24 15:23:29,82.23.200.x,0,0,0,0
-112,0,-1000,1424809408
-128,0,-1016,1424809408
-136,-8,-1024,1424809408
-120,-24,-952,1424809408
-152,-8,-952,1424809408
-168,32,-904,1424809408
-184,24,-904,1424809408
-208,48,-952,1424809408
-232,64,-960,1424809408
-248,64,-992,1424809408
-256,72,-928,1424809408
-264,80,-896,1424809408
-272,88,-992,1424809408
-304,88,-952,1424809408
-304,96,-936,1424809408
-304,88,-944,1424809408
-320,104,-952,1424809408
-352,96,-928,1424809408
-360,128,-960,1424809408
-344,152,-920,1424809408
-336,136,-896,1424809408
-344,144,-888,1424809408
-360,152,-872,1424809408
-392,176,-848,1424809409,Mix,2015-02-24 15:23:30,82.23.200.x,0,0,0,0
-400,192,-896,1424809409
-400,208,-936,1424809409
-416,216,-864,1424809409
-400,208,-840,1424809409
-416,256,-920,1424809409
-408,328,-944,1424809409
-408,368,-896,1424809409
-408,352,-904,1424809409
-384,352,-864,1424809409
-376,312,-840,1424809409
-376,328,-840,1424809409
-392,360,-856,1424809409
-384,376,-872,1424809409
-368,368,-880,1424809409
-360,384,-864,1424809409
-328,392,-872,1424809409
